Vendor,Category,Subcategory,Spend
COSTCO WHOLESALE W552,,,174.29
CITY OF VAN PAYBYPHONE,,,0.75
STARBUCKS 04327,,,2.99
WHOLE FOODS MARKET,,,36.85
CITY OF VAN PAYBYPHONE,,,1
COSTCO WHOLESALE W552,Food,Groceries,100
CITY OF VAN PAYBYPHONE,,,1.67
CITY OF VAN PAYBYPHONE,,,0.5
CITY OF VAN PAYBYPHONE,,,1.5
WHITE SPOT #104,Food,Eating Out,24
CITY OF VAN PAYBYPHONE,,,0.75
BEST FALFEL,,,8.25
FLYING WEDGE PIZZA,,,5
WHOLE FOODS MARKET,,,36.85
WESTPARK,,,2
JUGO JUICE,,,5.25
BEST BURRITO,,,12.25
BENKEI RAMEN,,,12.25
BURRARD CHEVRON PAP,,,74.69
COMPASS ACCOUNT,,,3.25
JUGO JUICE,,,9.95
WESTPARK,,,1
WOOFLES & MEOWZ,,,29.06
TACOFINO OCHO,,,24.65
PETSMART INC. 2362,,,17.15
CITY OF VAN PAYBYPHONE,,,0.5
BEST FALFEL,,,8.25
KOODO MOBILE PAC,,,56
EVO CAR SHARE,,,5.25
CITY OF VAN PAYBYPHONE,,,1
LONDON DRUGS,,,31.03
DISNEY PLUS,,,8.99
EvoCarShare,,,1.12
JJ BEAN,,,3.75
NETFLIX.COM,,,10.69
CITY OF VAN PAYBYPHONE,,,1
CITY OF VAN PAYBYPHONE,,,0.75
DISNEY PLUS,,,8.99
CITY OF VAN PAYBYPHONE,,,1.25
LONDON DRUGS,,,89.18
MCCLEERY GOLF CLUBHOUSE,,,35.88
BROADWAY ESSO 37883,,,74.69
WHITE SPOT #104,,,24.25
JJ BEAN,,,5.55
WESTPARK,,,3
COSTCO WHOLESALE W552,,,87.16
EvoCarShare,,,1.12
BEST BURRITO,,,12.25
CITY OF VAN PAYBYPHONE,,,1.5
CITY OF VAN PAYBYPHONE,,,1
BLACK TOP,,,25
BEST FALFEL,,,8.58
COSTCO WHOLESALE W552,,,87.16
AEBC INTERNET CORP.,,,52.59
STARBUCKS 04327,,,2.99
BENKEI RAMEN,,,12.25
FLYING WEDGE PIZZA,,,3.99
CINEPLEX #1145,,,25
CRAVE,,,11.19
TICKETLEADER ONLINE PN,,,14.76
TICKETLEADER ONLINE PN,,,14.76
EvoCarShare,,,1.12
TICKETLEADER ONLINE PN,Entertainment,Events,55
CITY OF VAN PAYBYPHONE,,,0.33
NOFRILLS JOTI'S #3403,,,27.72
CITY OF VAN PAYBYPHONE,,,0.25
WESTPARK,,,4
WESTPARK,,,4
BURRARD CHEVRON PAP,,,74.69
TICKETLEADER ONLINE PN,,,14.76
BROADWAY ESSO 37883,,,60.96
FLYING WEDGE PIZZA,,,5
KOODO MOBILE PAC,Recurring,Cellphone,55
CITY OF VAN PAYBYPHONE,,,0.5
COMPASS ACCOUNT,,,3.25
BEST BURRITO,,,9.25
SAVE ON FOODS #2219,,,81.81
CITY OF VAN PAYBYPHONE,,,0.5
COSTCO WHOLESALE W552,,,8.97
CITY OF VAN PAYBYPHONE,Car,Parking,2
WESTPARK,,,2
SAVE ON FOODS #2219,,,80.47
CITY OF VAN PAYBYPHONE,,,0.25
CITY OF VAN PAYBYPHONE,,,0.5
WHOLE FOODS MARKET,Food,Groceries,90
CITY OF VAN PAYBYPHONE,,,2.33
LONDON DRUGS,,,89.18
STARBUCKS 04327,,,5.98
BEST BURRITO,Food,Eating Out,10
WESTPARK,,,3
CINEPLEX #1145,,,25.25
WESTPARK,,,0.5
CITY OF VAN PAYBYPHONE,,,1
STARBUCKS 04327,,,3.99
FLYING WEDGE PIZZA,,,5
WESTPARK,,,4
SAVE ON FOODS #2219,,,79.26
STARBUCKS 04327,,,5.98
BENKEI RAMEN,,,12.95
TICKETLEADER ONLINE PN,,,54.5
WESTPARK,Car,Parking,4
EvoCarShare,,,2.24
TACOFINO OCHO,,,25.22
CITY OF VAN PAYBYPHONE,,,4
FLYING WEDGE PIZZA,,,3.99
NETFLIX.COM,,,10.69
SAVE ON FOODS #2219,,,79.26
WESTPARK,,,4
WHOLE FOODS MARKET,,,39.97
STARBUCKS 04327,,,5.26
Property Management,,,1100
PETSMART INC. 2362,,,52.5
Property Management,,,1100
WESTPARK,,,1
NOFRILLS JOTI'S #3403,,,57.75
TACOFINO OCHO,,,24.65
KOODO MOBILE PAC,,,56
CITY OF VAN PAYBYPHONE,,,0.5
MCCLEERY GOLF CLUBHOUSE,Entertainment,Events,30
CITY OF VAN PAYBYPHONE,,,1.67
CITY OF VAN PAYBYPHONE,,,0.25
TICKETLEADER ONLINE PN,,,7.92
EVO CAR SHARE,,,12.25
EVO CAR SHARE,,,12.25
TACOFINO OCHO,,,12.25
AEBC INTERNET CORP.,,,52.59
PETSMART INC. 2362,,,52.5
CINEPLEX #1145,,,25
BENKEI RAMEN,,,12.95
BENKEI RAMEN,,,12.95
CITY OF VAN PAYBYPHONE,,,4
JJ BEAN,Food,Eating Out,12
BEST FALFEL,,,9.46
JJ BEAN,,,5.55
EVO CAR SHARE,,,5.25
CINEPLEX #1145,,,31.25
BROADWAY ESSO 37883,,,60.96
WHITE SPOT #104,,,25.58
COMPASS ACCOUNT,,,3.25
BEST FALFEL,,,10.25
TACOFINO OCHO,,,14.25
WESTPARK,,,8
BENKEI RAMEN,,,12.25
CITY OF VAN PAYBYPHONE,,,5
NOFRILLS JOTI'S #3403,Food,Groceries,130
WESTPARK,,,8
CITY OF VAN PAYBYPHONE,,,0.5
CINEPLEX #1145,,,27.25
BEST BURRITO,,,12.25
BEST FALFEL,,,10.25
JUGO JUICE,,,9.95
AEBC INTERNET CORP.,,,52.59
MCCLEERY GOLF CLUBHOUSE,,,15.75
WHITE SPOT #104,,,24.25
BEST FALFEL,,,8.25
WHOLE FOODS MARKET,,,36.85
COSTCO WHOLESALE W552,,,174.29
JUGO JUICE,,,5.25
WHOLE FOODS MARKET,,,28.78
MCCLEERY GOLF CLUBHOUSE,,,35.88
Property Management,,,1100
AEBC INTERNET CORP.,Recurring,Internet,50
CITY OF VAN PAYBYPHONE,,,1.5
BEST FALFEL,,,10.25
CITY OF VAN PAYBYPHONE,,,5
SAVE ON FOODS #2219,,,81.81
CITY OF VAN PAYBYPHONE,,,2
SAVE ON FOODS #2219,Food,Groceries,50
PETSMART INC. 2362,,,26.18
BROADWAY ESSO 37883,,,68.16
WHITE SPOT #104,,,32.25
TACOFINO OCHO,,,24.65
CINEPLEX #1145,,,25
BROADWAY ESSO 37883,,,74.69
WHOLE FOODS MARKET,,,26.85
BEST BURRITO,,,12.25
FLYING WEDGE PIZZA,,,5
CITY OF VAN PAYBYPHONE,,,4
STARBUCKS 04327,,,5.25
CITY OF VAN PAYBYPHONE,,,1
BENKEI RAMEN,,,12.95
CINEPLEX #1145,,,25
CITY OF VAN PAYBYPHONE,,,1.25
MCCLEERY GOLF CLUBHOUSE,,,35.88
Property Management,,,1100
COSTCO WHOLESALE W552,,,174.29
LONDON DRUGS ,Food,Groceries,20
CITY OF VAN PAYBYPHONE,,,0.33
FLYING WEDGE PIZZA,,,3.99
CITY OF VAN PAYBYPHONE,,,4
TACOFINO OCHO,Food,Eating Out,12
COMPASS ACCOUNT,,,3.25
WESTPARK,,,8
Property Management,Recurring,Rent,1100
COMPASS ACCOUNT,,,3.25
EvoCarShare,,,2.24
CITY OF VAN PAYBYPHONE,,,1.67
NETFLIX.COM,Subscriptions,Netflix,10
COMPASS ACCOUNT,,,3.25
EVO CAR SHARE,,,10.99
CRAVE,,,11.19
CITY OF VAN PAYBYPHONE,,,0.75
EVO CAR SHARE,,,10.99
WHITE SPOT #104,,,32.25
JUGO JUICE,,,9.95
COMPASS ACCOUNT,,,3.25
CITY OF VAN PAYBYPHONE,,,0.33
TACOFINO OCHO,,,24.65
JJ BEAN,,,5.55
CITY OF VAN PAYBYPHONE,,,0.5
WHOLE FOODS MARKET,,,55.89
BURRARD CHEVRON PAP,,,50
BENKEI RAMEN,,,12.95
COSTCO WHOLESALE W552,,,8.97
SAVE ON FOODS #2219,,,79.26
TACOFINO OCHO,,,12.25
LONDON DRUGS,,,89.18
CITY OF VAN PAYBYPHONE,,,4
BEST FALFEL,,,8.58
BEST FALFEL,,,9.46
CINEPLEX #1145,Entertainment,Events,22
WESTPARK,,,3
CRAVE,,,11.19
CITY OF VAN PAYBYPHONE,,,1
TACOFINO OCHO,,,25.22
CITY OF VAN PAYBYPHONE,,,0.5
JUGO JUICE,Food,Eating Out,10
STARBUCKS 04327,,,5.98
BEST BURRITO,,,10.25
STARBUCKS 04327,,,3.99
WHITE SPOT #104,,,32.25
BEST FALFEL,,,9.46
CITY OF VAN PAYBYPHONE,,,0.17
CITY OF VAN PAYBYPHONE,,,1
BROADWAY ESSO 37883,,,60.96
CITY OF VAN PAYBYPHONE,,,0.5
JUGO JUICE,,,9.52
FLYING WEDGE PIZZA,,,5
AEBC INTERNET CORP.,,,52.59
CINEPLEX #1145,,,27.25
TACOFINO OCHO,,,5.99
BENKEI RAMEN,,,12.95
BEST FALFEL,Food,Eating Out,5
TACOFINO OCHO,,,12.25
WHOLE FOODS MARKET,,,28.78
